"season","team","conference","statName","statValue"
2022,"New Mexico State","FBS Independents","interceptionTDs",1
2022,"Michigan","Big Ten","rushingYards",3344
2022,"Northwestern","Big Ten","passCompletions",245
2022,"Kansas","Big 12","sacks",24
2022,"Purdue","Big Ten","rushingTDs",17
2022,"Notre Dame","FBS Independents","fumblesLost",7
2022,"UMass","FBS Independents","kickReturnTDs",0
2022,"Ole Miss","SEC","sacks",33
2022,"Louisiana","Sun Belt","totalYards",4736
2022,"Rutgers","Big Ten","tacklesForLoss",66
2022,"Texas A&M","SEC","firstDowns",233
2022,"San Diego State","Mountain West","puntReturns",28
2022,"San José State","Mountain West","thirdDownConversions",56
2022,"Texas Tech","Big 12","interceptionYards",47
2022,"Wyoming","Mountain West","firstDowns",208
2022,"Indiana","Big Ten","fumblesLost",5
2022,"Kansas State","Big 12","fumblesRecovered",13
2022,"Missouri","SEC","fumblesLost",11
2022,"Virginia Tech","ACC","rushingAttempts",388
2022,"Indiana","Big Ten","puntReturnTDs",0
2022,"SMU","American Athletic","passCompletions",333
2022,"Liberty","FBS Independents","thirdDowns",174
2022,"East Carolina","American Athletic","sacks",24
2022,"Louisiana Tech","Conference USA","puntReturnYards",253
2022,"North Carolina","ACC","tacklesForLoss",48
2022,"Liberty","FBS Independents","thirdDownConversions",64
2022,"Coastal Carolina","Sun Belt","passingTDs",27
2022,"Kansas","Big 12","tacklesForLoss",57
2022,"UAB","Conference USA","interceptionYards",200
2022,"Florida State","ACC","passAttempts",395
2022,"Temple","American Athletic","turnovers",23
2022,"Appalachian State","Sun Belt","tacklesForLoss",68
2022,"Marshall","Sun Belt","passesIntercepted",18
2022,"Virginia","ACC","passesIntercepted",5
2022,"Syracuse","ACC","puntReturnTDs",0
2022,"Iowa State","Big 12","passCompletions",313
2022,"Cincinnati","American Athletic","rushingYards",1686
2022,"Liberty","FBS Independents","passingTDs",21
2022,"Florida","SEC","games",13
2022,"Toledo","Mid-American","thirdDownConversions",85
2022,"Oregon","Pac-12","penaltyYards",744
2022,"Alabama","SEC","thirdDownConversions",74
2022,"Kent State","Mid-American","tacklesForLoss",70
2022,"Arkansas","SEC","penalties",83
2022,"Louisiana","Sun Belt","penalties",85
2022,"North Texas","Conference USA","thirdDownConversions",81
2022,"South Alabama","Sun Belt","passesIntercepted",13
2022,"Charlotte","Conference USA","interceptionYards",7
2022,"New Mexico","Mountain West","games",12
2022,"New Mexico State","FBS Independents","passCompletions",159
2022,"James Madison","Sun Belt","rushingAttempts",479
2022,"UCLA","Pac-12","turnovers",20
2022,"Michigan State","Big Ten","puntReturnTDs",0
2022,"Utah State","Mountain West","tacklesForLoss",75
2022,"Texas State","Sun Belt","possessionTime",21939
2022,"Old Dominion","Sun Belt","sacks",31
2022,"San José State","Mountain West","passingTDs",23
2022,"UAB","Conference USA","fumblesLost",11
2022,"Tulsa","American Athletic","passesIntercepted",6
2022,"Eastern Michigan","Mid-American","sacks",25
2022,"Alabama","SEC","fourthDownConversions",9
2022,"Illinois","Big Ten","passAttempts",393
2022,"Michigan","Big Ten","passesIntercepted",14
2022,"Tulane","American Athletic","rushingAttempts",556
2022,"New Mexico State","FBS Independents","totalYards",4300
2022,"Appalachian State","Sun Belt","totalYards",5464
2022,"Rice","Conference USA","rushingAttempts",460
2022,"Missouri","SEC","turnovers",20
2022,"LSU","SEC","puntReturns",17
2022,"Virginia","ACC","firstDowns",190
2022,"Wyoming","Mountain West","rushingAttempts",479
2022,"Wisconsin","Big Ten","kickReturns",28
2022,"Arizona","Pac-12","penaltyYards",600
2022,"Fresno State","Mountain West","kickReturns",30
2022,"Troy","Sun Belt","fourthDownConversions",18
2022,"Virginia","ACC","thirdDowns",138
2022,"Ole Miss","SEC","thirdDownConversions",88
2022,"Troy","Sun Belt","kickReturnYards",343
2022,"Ball State","Mid-American","penaltyYards",691
2022,"Army","FBS Independents","fourthDownConversions",16
2022,"New Mexico State","FBS Independents","kickReturns",16
2022,"Vanderbilt","SEC","interceptionYards",41
2022,"Air Force","Mountain West","turnovers",13
2022,"Kentucky","SEC","interceptions",13
2022,"Florida State","ACC","fumblesLost",7
2022,"Iowa State","Big 12","tacklesForLoss",64
2022,"Miami (OH)","Mid-American","thirdDownConversions",59
2022,"Notre Dame","FBS Independents","interceptionYards",132
2022,"Arizona","Pac-12","puntReturnTDs",0
2022,"Penn State","Big Ten","penalties",69
2022,"Missouri","SEC","kickReturnYards",229
2022,"Auburn","SEC","kickReturnTDs",0
2022,"Stanford","Pac-12","rushingTDs",14
2022,"California","Pac-12","interceptionTDs",1
2022,"Georgia Southern","Sun Belt","passCompletions",373
2022,"South Florida","American Athletic","passCompletions",188
2022,"San José State","Mountain West","penaltyYards",582
2022,"California","Pac-12","turnovers",12
2022,"Georgia","SEC","firstDowns",371
2022,"Central Michigan","Mid-American","thirdDowns",170
2022,"Georgia","SEC","interceptionTDs",0
2022,"UCLA","Pac-12","fourthDowns",26
